,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,cLI,Streak,Orig. Scheduled,Year
80,"Tuesday, Jun 24",STL,Home,CHC,W,8.0,7.0,9.0,44-36,2.0,2.5,Matz,Taillon,Helsley,2:31,N,1.42,2,,2025
81,"Wednesday, Jun 25",STL,Home,CHC,L,0.0,8.0,9.0,44-37,3.0,3.5,Boyd,Fedde,None,2:24,N,1.42,-1,,2025
82,"Thursday, Jun 26",STL,Home,CHC,L,0.0,3.0,9.0,44-38,3.0,4.5,Imanaga,Pallante,Palencia,2:48,D,1.40,-2,,2025
83,"Friday, Jun 27",STL,@,CLE,W,5.0,0.0,9.0,45-38,3.0,3.5,Gray,Ortiz,None,2:11,N,1.10,1,,2025
84,"Saturday, Jun 28",STL,@,CLE,W,9.0,6.0,9.0,46-38,3.0,3.5,Svanson,Festa,Helsley,2:41,D,1.18,2,,2025
85,"Sunday, Jun 29",STL,@,CLE,W,7.0,0.0,9.0,47-38,3.0,2.5,Liberatore,Allen,None,2:50,D,1.24,3,,2025
86,"Monday, Jun 30",STL,@,PIT,L,0.0,7.0,9.0,47-39,3.0,3.0,Heaney,Fedde,None,2:12,N,1.34,-1,,2025
87,"Tuesday, Jul 1",STL,@,PIT,L,0.0,1.0,9.0,47-40,3.0,4.0,Mattson,Maton,Bednar,2:37,N,1.25,-2,,2025
88,"Wednesday, Jul 2",STL,@,PIT,L,0.0,5.0,9.0,47-41,3.0,5.0,Keller,Gray,None,2:16,D,1.20,-3,,2025
89,"Friday, Jul 4",STL,@,CHC,L,3.0,11.0,9.0,47-42,3.0,6.5,Rea,Mikolas,None,2:23,D,1.28,-4,,2025
90,"Saturday, Jul 5",STL,@,CHC,W,8.0,6.0,9.0,48-42,3.0,5.5,Matz,Keller,Helsley,2:52,D,1.17,1,,2025
91,"Sunday, Jul 6",STL,@,CHC,L,0.0,11.0,9.0,48-43,3.0,6.5,Boyd,Fedde,None,3:10,N,1.31,-1,,2025
92,"Tuesday, Jul 8",STL,Home,WSN,W,4.0,2.0,9.0,49-43,3.0,5.5,Gray,Irvin,Helsley,2:21,N,1.07,1,,2025
93,"Wednesday, Jul 9",STL,Home,WSN,L,2.0,8.0,9.0,49-44,3.0,5.5,Gore,Pallante,None,2:27,N,1.11,-1,,2025
94,"Thursday, Jul 10",STL,Home,WSN,W,8.0,1.0,9.0,50-44,3.0,5.5,Mikolas,Soroka,None,2:32,N,1.05,1,,2025
95,"Friday, Jul 11",STL,Home,ATL,L,5.0,6.0,9.0,50-45,3.0,5.5,De Los Santos,Liberatore,Iglesias,2:58,N,1.12,-1,,2025
96,"Saturday, Jul 12",STL,Home,ATL,L,6.0,7.0,9.0,50-46,3.0,6.5,Hernández,Helsley,Iglesias,2:35,D,1.04,-2,,2025
97,"Sunday, Jul 13",STL,Home,ATL,W,5.0,4.0,9.0,51-46,3.0,6.5,Graceffo,Chavez,Helsley,2:38,D,.94,1,,2025
